id,product_name,buyer_cost,seller_cost,buyer_target,seller_target,buyer_emotion,seller_emotion,success,turns,savings,reward
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,surprise,True,9,0.5446293494704992,0.17034441475620687
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,disgust,neutral,True,9,0.5181543116490166,0.1620637834833357
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,anger,True,8,0.46520423600605143,0.15106772760891005
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,disgust,True,8,0.46520423600605143,0.15106772760891005
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,fear,True,9,0.4803328290468986,0.1502343102363769
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,happy,True,9,0.4689863842662632,0.14668546826228926
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,sad,True,8,0.5068078668683812,0.16457784959019467
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,surprise,True,8,0.4009077155824508,0.1301884481832883
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,fear,neutral,True,8,0.49924357034795763,0.16212146377541567
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,anger,True,8,0.48411497730711045,0.15720869214585761
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,disgust,True,8,0.48411497730711045,0.15720869214585761
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,fear,True,9,0.5068078668683812,0.15851494150924805
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,happy,True,7,0.397125567322239,0.13480572971636226
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,sad,True,9,0.43116490166414523,0.13485599501533044
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,surprise,True,8,0.3630862329803328,0.1179065191093932
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,happy,neutral,True,9,0.4689863842662632,0.14668546826228926
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,anger,True,7,0.510590015128593,0.17332165249246576
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,disgust,True,9,0.5052950075642966,0.15804176257936975
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,fear,True,8,0.5408472012102874,0.1756315857567003
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,happy,True,8,0.42738275340393345,0.13878579853501494
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,sad,True,8,0.4689863842662632,0.15229592051629956
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,surprise,True,10,0.43116490166414523,0.1305537600162972
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,sad,neutral,True,9,0.46520423600605143,0.1455025209375934
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,anger,True,8,0.43872919818456885,0.14247037725718345
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,disgust,True,8,0.5030257186081695,0.16334965668280518
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,fear,True,9,0.5559757942511346,0.17389325673029452
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,happy,True,9,0.46520423600605143,0.1455025209375934
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,sad,True,8,0.5408472012102874,0.1756315857567003
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,surprise,True,9,0.44251134644478063,0.1384048369894181
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,surprise,neutral,True,8,0.5408472012102874,0.1756315857567003
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,neutral,anger,True,7,0.3744326777609682,0.12710254516114156
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,neutral,disgust,True,7,0.3895612708018154,0.13223800153128867
2,A 4 bedroom single family house for rent in central Fremont,3200,1878,1920,3200,neutral,fear,True,7,0.3895612708018154,0.13223800153128867
